Transaction_Name,Minimum,Average,Maximum,Std_Deviation,ninety_Percent,Pass,Fail,Stop
CreateCustomerTriplePlay_SelectProduct,0.172,0.387,2.153,0.175,0.561,924,0,0
CreateCustomerTriplePlay_SelectProduct_XX_OE_SelectOffer,0.172,0.387,2.153,0.175,0.561,924,0,0
CreateCustomerTriplePlay_TelHWWrench,0.343,0.731,5.149,0.376,1.048,925,0,0
CreateCustomerTriplePlay_TelHWWrench_XX_OE_AddOffer,0.075,0.174,1.67,0.105,0.257,925,0,0
CreateCustomerTriplePlay_TelHWWrench_XX_OE_SelectOffer,0.184,0.398,4.703,0.253,0.576,925,0,0
CreateCustomerTriplePlay_TelHWWrench_XX_OE_showHardware,0.062,0.158,3.202,0.139,0.226,925,0,0
CreateCustomerTriplePlay_TelValidate,0.094,0.24,1.925,0.162,0.331,924,0,0
CreateCustomerTriplePlay_TelValidate_XX_OE_validateHW,0.094,0.24,1.925,0.162,0.331,924,0,0
CreateCustomerTriplePlay_TelSaveEquipment,0.171,0.4,2.668,0.206,0.577,923,0,0
CreateCustomerTriplePlay_TelSaveEquipment_XX_OE_saveEquipment,0.171,0.4,2.668,0.206,0.577,923,0,0
CreateCustomerTriplePlay_CustomerID,0.153,0.373,3.31,0.212,0.514,921,2,0
CreateCustomerTriplePlay_CustomerID_XX_OE_prepareQuote,0.108,0.247,2.966,0.169,0.343,921,2,0
CreateCustomerTriplePlay_CustomerID_XX_OE_shortSumary,0.044,0.126,2.044,0.089,0.187,921,0,0
CreateCustomerTriplePlay_BillingPref,0.165,0.507,3.519,0.259,0.718,922,0,0
CreateCustomerTriplePlay_BillingPref_XX_OE_contactEmailChanged,0.045,0.132,1.123,0.077,0.196,922,0,0
CreateCustomerTriplePlay_BillingPref_XX_OE_prepareQuote,0.045,0.137,2.855,0.106,0.203,922,0,0
CreateCustomerTriplePlay_BillingPref_XX_OE_shortSummary,0.031,0.113,2.543,0.104,0.159,922,0,0
CreateCustomerTriplePlay_BillingPref_XX_OE_systemrpcUpdate,0.031,0.125,3.144,0.119,0.182,922,0,0
CreateCustomerTriplePlay_AddSvc,0.56,0.977,6.347,0.37,1.279,920,0,0
CreateCustomerTriplePlay_AddSvc_XX_OE_prepareQuote,0.509,0.865,5.693,0.332,1.138,920,0,0
CreateCustomerTriplePlay_AddSvc_XX_OE_shortSummary,0.036,0.112,1.247,0.074,0.156,920,0,0
CreateCustomerTriplePlay_SelectNumber,0.047,0.19,3.437,0.204,0.261,920,0,0
CreateCustomerTriplePlay_SelectNumber_XX_OE_selectPhone,0.047,0.19,3.437,0.204,0.261,920,0,0
CreateCustomerTriplePlay_ChooseNumber,0.172,0.42,5.178,0.289,0.561,921,0,0
CreateCustomerTriplePlay_ChooseNumber_XX_OE_PhoneTypeChange,0.125,0.307,4.892,0.228,0.415,921,0,0
CreateCustomerTriplePlay_ChooseNumber_XX_OE_System_RPC_Update,0.031,0.113,3.141,0.15,0.154,921,0,0
CreateCustomerTriplePlay_Assign,0.273,0.556,4.376,0.27,0.778,923,0,0
CreateCustomerTriplePlay_Assign_XX_OE_AssignPhone,0.273,0.556,4.376,0.27,0.778,923,0,0
CreateCustomerTriplePlay_ListingType,0.031,0.133,3.122,0.136,0.194,921,0,0
CreateCustomerTriplePlay_ListingType_XX_OE_selectList,0.031,0.133,3.122,0.136,0.194,921,0,0
CreateCustomerTriplePlay_Features,0.047,0.152,3.071,0.142,0.219,922,0,0
CreateCustomerTriplePlay_Features_XX_OE_phoneConfig,0.047,0.152,3.071,0.142,0.219,922,0,0
CreateCustomerTriplePlay_SaveTelephone,0.245,0.508,3.307,0.259,0.693,923,0,0
CreateCustomerTriplePlay_SaveTelephone_XX_OE_savePhone,0.245,0.508,3.307,0.259,0.693,923,0,0
CreateCustomerTriplePlay_Appt,0.546,1.136,4.534,0.387,1.559,924,0,0
CreateCustomerTriplePlay_Appt_XX_OE_prepareQuote,0.296,0.618,4.044,0.294,0.851,925,0,0
CreateCustomerTriplePlay_Appt_XX_OE_SelectTechnician,0.174,0.407,1.981,0.175,0.593,924,0,0
CreateCustomerTriplePlay_Appt_XX_OE_shortSummary,0.031,0.111,0.508,0.048,0.164,925,0,0
CreateCustomerTriplePlay_ADDSvc_XX_OE_infotoChangeAction,0.14,0.313,1.765,0.14,0.473,924,0,0
CreateCustomerTriplePlay_ADDSvc_XX_OE_Preparequote,0.328,0.663,3,0.283,0.954,924,0,0
CreateCustomerTriplePlay_ADDSvc_XX_OE_ShortSummary,0.031,0.111,1.265,0.062,0.162,924,0,0
CreateCustomerTriplePlay_InstallationFee_popup,0.515,1.088,4.357,0.424,1.544,924,0,0
CreateCustomerTriplePlay_Review,0.195,0.462,3.545,0.221,0.64,924,0,0
